FT,ToD,DoW,MO,DIR,MOVE
1728437400000,1290,3,0,dn,nm
1728437700000,1295,3,0,up,mv
1728438000000,1300,3,0,dn,mv
1728438300000,1305,3,0,dn,mv
1728438600000,1310,3,0,dn,mv
1728438900000,1315,3,0,dn,mv
1728439200000,1320,3,0,dn,nm
1728439500000,1325,3,0,dn,mv
1728439800000,1330,3,0,up,nm
1728440100000,1335,3,0,up,mv
1728440400000,1340,3,0,up,mv
1728440700000,1345,3,0,dn,mv
1728441000000,1350,3,0,dn,nm
1728441300000,1355,3,0,dn,nm
1728441600000,1360,3,0,up,nm
1728441900000,1365,3,0,dn,mv
1728442200000,1370,3,0,dn,nm
1728442500000,1375,3,0,dn,nm
1728442800000,1380,3,0,dn,nm
1728443100000,1385,3,0,dn,mv
1728443400000,1390,3,0,up,mv
1728443700000,1395,3,0,dn,mv
1728444000000,1400,3,0,up,nm
1728444300000,1405,3,0,up,nm
1728444600000,1410,3,0,dn,mv
1728444900000,1415,3,0,dn,nm
1728445200000,1420,3,0,up,mv
1728445500000,1425,3,0,dn,nm
1728445800000,1430,3,0,up,nm
1728446100000,1435,3,0,dn,nm
1728446400000,0,3,0,up,nm
1728446700000,5,3,0,up,nm
1728447000000,10,3,0,dn,nm
1728447300000,15,3,0,up,nm
1728447600000,20,3,0,dn,mv
1728447900000,25,3,0,dn,nm
1728448200000,30,3,0,up,mv
1728448500000,35,3,0,dn,mv
1728448800000,40,3,0,dn,mv
1728449100000,45,3,0,dn,mv
1728449400000,50,3,0,dn,mv
1728449700000,55,3,0,up,nm
1728450000000,60,3,0,up,mv
1728450300000,65,3,0,dn,nm
1728450600000,70,3,0,dn,nm
1728450900000,75,3,0,up,nm
1728451200000,80,3,0,up,mv
1728451500000,85,3,0,dn,mv
1728451800000,90,3,0,up,nm
1728452100000,95,3,0,dn,nm
1728452400000,100,3,0,up,mv
1728452700000,105,3,0,dn,nm
1728453000000,110,3,0,dn,mv
1728453300000,115,3,0,dn,mv
1728453600000,120,3,0,up,mv
1728453900000,125,3,0,dn,mv
1728454200000,130,3,0,dn,mv
1728454500000,135,3,0,dn,mv
1728454800000,140,3,0,up,mv
1728455100000,145,3,0,dn,mv
1728455400000,150,3,0,dn,mv
1728455700000,155,3,0,dn,mv
1728456000000,160,3,0,up,mv
1728456300000,165,3,0,up,nm
1728456600000,170,3,0,dn,mv
1728456900000,175,3,0,dn,mv
1728457200000,180,3,0,dn,mv
1728457500000,185,3,0,dn,mv
1728457800000,190,3,0,dn,mv
1728458100000,195,3,0,up,mv
1728458400000,200,3,0,dn,mv
1728458700000,205,3,0,up,mv
1728459000000,210,3,0,up,mv
1728459300000,215,3,0,dn,nm
1728459600000,220,3,0,dn,mv
1728459900000,225,3,0,up,mv
1728460200000,230,3,0,up,mv
1728460500000,235,3,0,up,nm
1728460800000,240,3,0,up,mv
1728461100000,245,3,0,dn,mv
1728461400000,250,3,0,up,mv
1728461700000,255,3,0,dn,nm
1728462000000,260,3,0,dn,mv
1728462300000,265,3,0,dn,mv
1728462600000,270,3,0,up,mv
1728462900000,275,3,0,up,nm
1728463200000,280,3,0,dn,nm
1728463500000,285,3,0,up,nm
1728463800000,290,3,0,dn,mv
1728464100000,295,3,0,up,nm
1728464400000,300,3,0,up,mv
1728464700000,305,3,0,up,mv
1728465000000,310,3,0,dn,mv
1728465300000,315,3,0,up,nm
1728465600000,320,3,0,dn,nm
1728465900000,325,3,0,up,mv
1728466200000,330,3,0,up,mv
1728466500000,335,3,0,dn,mv
1728466800000,340,3,0,up,nm
1728467100000,345,3,0,up,mv
1728467400000,350,3,0,dn,nm
1728467700000,355,3,0,dn,mv
1728468000000,360,3,0,dn,mv
1728468300000,365,3,0,up,mv
1728468600000,370,3,0,up,nm
1728468900000,375,3,0,up,nm
1728469200000,380,3,0,dn,nm
1728469500000,385,3,0,up,mv
1728469800000,390,3,0,dn,mv
1728470100000,395,3,0,up,nm
1728470400000,400,3,0,up,nm
1728470700000,405,3,0,up,mv
