FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1728332700000,985,1,0,up,up,1,2.75,nm,nm,2.6833,0.5959
1728333000000,990,1,0,up,up,2,1.75,mv,nm,5.3666,0.379
1728333300000,995,1,0,dn,dn,-0.25,-0.25,nm,nm,0.3638,0.0568
1728333600000,1000,1,0,dn,dn,0,-1.75,nm,nm,0,0.4267
1728333900000,1005,1,0,dn,dn,0,-3,nm,nm,0,0.7775
1728334200000,1010,1,0,dn,dn,-1.75,-3.25,nm,nm,2.1984,0.8424
1728334500000,1015,1,0,dn,dn,-1.25,-1,nm,nm,1.0854,0.258
1728338400000,1080,2,0,dn,dn,-0.25,0,nm,nm,0.2109,0
1728338700000,1085,2,0,up,dn,0.5,-1.25,nm,nm,0.7442,0.3568
1728339000000,1090,2,0,dn,dn,-0.25,-1.75,nm,nm,0.3193,0.5648
1728339300000,1095,2,0,dn,dn,-1.5,-15.75,nm,mv,1.964,5.0928
1728339600000,1100,2,0,dn,dn,0,-6.25,nm,mv,0,2.4005
1728339900000,1105,2,0,dn,dn,-14.25,-5.25,mv,mv,20.402,2.2853
1728340200000,1110,2,0,up,up,8,8.75,mv,mv,1.5286,2.1744
1728340500000,1115,2,0,up,dn,1,-1.75,nm,nm,0.1518,0.4188
1728340800000,1120,2,0,dn,dn,-0.25,-1.5,nm,nm,0.0378,0.3553
1728341100000,1125,2,0,dn,dn,-2.5,0,mv,nm,0.3782,0
1728341400000,1130,2,0,up,up,1.25,8.25,nm,mv,0.1885,1.7227
1728341700000,1135,2,0,up,up,1.25,3,nm,nm,0.1869,0.6291
1728342000000,1140,2,0,up,up,5.75,4.75,mv,mv,1.7934,1.0008
1728342300000,1145,2,0,dn,dn,-4,-1.75,mv,nm,1.6227,0.3394
1728342600000,1150,2,0,up,up,3,0.75,mv,nm,0.9639,0.1452
1728342900000,1155,2,0,dn,dn,-0.75,-4,nm,mv,0.2302,0.7541
1728343200000,1160,2,0,dn,dn,-1.5,-3,nm,nm,0.4968,0.5656
1728343500000,1165,2,0,dn,up,-1.75,1,nm,nm,0.553,0.1881
1728343800000,1170,2,0,up,up,0.25,3,nm,nm,0.0766,0.5614
1728344100000,1175,2,0,up,up,2.5,4.25,mv,mv,1.1747,0.7961
1728344400000,1180,2,0,up,dn,0.25,-1,nm,nm,0.1347,0.1867
1728344700000,1185,2,0,up,up,1.5,3.5,nm,mv,1.057,0.6448
1728345000000,1190,2,0,dn,up,-2.75,3,mv,mv,1.8214,0.5412
1728345300000,1195,2,0,up,up,4.75,8.75,mv,mv,2.6519,1.5807
1728345600000,1200,2,0,up,up,1,3.25,nm,mv,0.435,0.7844
1728345900000,1205,2,0,up,up,3,2.25,mv,nm,1.3214,0.5908
1728346200000,1210,2,0,dn,dn,-0.75,-0.5,nm,nm,0.3226,0.1303
1728346500000,1215,2,0,dn,up,0,1.5,nm,nm,0,0.4297
1728346800000,1220,2,0,up,up,0.25,0.5,nm,nm,0.1019,0.1475
1728347100000,1225,2,0,up,dn,1.25,-1.75,nm,nm,0.6551,0.5237
1728347400000,1230,2,0,dn,dn,-1,-1,nm,nm,0.8438,0.3021
1728347700000,1235,2,0,dn,dn,-2,-1.25,mv,nm,1.482,0.422
1728348000000,1240,2,0,up,up,2,0.5,mv,nm,1.9451,0.1646
1728348300000,1245,2,0,dn,dn,-1.25,-1,nm,nm,0.9412,0.3371
1728348600000,1250,2,0,dn,dn,-0.25,-2.75,nm,mv,0.1761,0.9346
1728348900000,1255,2,0,up,dn,0.5,-3.5,nm,mv,0.3546,1.1886
1728349200000,1260,2,0,dn,dn,-3,-8.25,mv,mv,2.3,3.021
1728349500000,1265,2,0,dn,dn,-1,-3.5,nm,mv,0.6084,1.2916
1728349800000,1270,2,0,dn,dn,-4.25,-2.5,mv,mv,2.7457,0.8563
1728350100000,1275,2,0,up,dn,1.75,-2.25,nm,nm,1.0826,0.6327
1728350400000,1280,2,0,dn,dn,0,-2.75,nm,mv,0,0.7794
1728350700000,1285,2,0,dn,dn,-4,-2.5,mv,mv,1.9451,0.7009
1728351000000,1290,2,0,up,up,1.25,6.5,nm,mv,0.571,1.8668
1728351300000,1295,2,0,up,up,0.25,3.75,nm,mv,0.1063,1.0991
1728351600000,1300,2,0,up,up,5,2.75,mv,mv,2.0826,1.0909
1728351900000,1305,2,0,dn,dn,-1.5,-3.75,nm,mv,0.5624,1.2792
1728352200000,1310,2,0,dn,dn,-0.75,-1.5,nm,nm,0.2748,0.4921
1728352500000,1315,2,0,dn,dn,-1.5,-3.5,nm,mv,0.5451,1.1023
1728352800000,1320,2,0,up,up,0.75,0.75,nm,nm,0.333,0.2362
1728353100000,1325,2,0,dn,dn,-2.75,-0.5,mv,nm,1.2331,0.1589
1728353400000,1330,2,0,up,up,2.75,1.25,mv,nm,1.0914,0.3926
1728353700000,1335,2,0,dn,dn,-0.5,-3.25,nm,mv,0.2791,1.0082
1728354000000,1340,2,0,dn,dn,-1,-0.75,nm,nm,0.576,0.2322
1728354300000,1345,2,0,dn,up,-1.75,3.25,nm,mv,1.0009,0.9976
1728354600000,1350,2,0,up,up,2,4,mv,mv,1.1251,1.2168
1728354900000,1355,2,0,up,up,3,3.75,mv,mv,1.5264,1.1454
