FT,ToD,DoW,MO,Dc1,Dc3,Dr1,Dr3,Mc1,Mc3,Mr1,Mr3
1729571400000,30,2,0,dn,dn,-0.5,-1.75,nm,mv,1.0954,1.3302
1729571700000,35,2,0,dn,dn,-0.25,-2.5,nm,mv,0.4915,1.955
1729572000000,40,2,0,dn,dn,-1,-3,mv,mv,2.1466,2.513
1729572300000,45,2,0,dn,dn,-1.25,-0.75,mv,nm,3.4188,0.6367
1729572600000,50,2,0,dn,dn,-0.75,-0.75,mv,nm,1.5667,0.588
1729572900000,55,2,0,up,dn,1.25,-0.5,mv,nm,2.9277,0.3708
1729573200000,60,2,0,dn,dn,-1.25,-1.25,mv,mv,1.539,0.9725
1729573500000,65,2,0,dn,up,-0.5,1,nm,mv,0.574,0.7819
1729573800000,70,2,0,up,up,0.5,2.75,mv,mv,0.58,2.1832
1729574100000,75,2,0,up,up,1,3,mv,mv,1.0864,2.5143
1729574400000,80,2,0,up,up,1.25,2.75,mv,mv,1.3457,2.2533
1729574700000,85,2,0,up,up,0.75,0.75,mv,nm,0.7947,0.5251
1729575000000,90,2,0,up,dn,0.75,-1.5,mv,mv,0.8495,0.9343
1729575300000,95,2,0,dn,dn,-0.75,-2.25,mv,mv,1.353,1.3064
1729575600000,100,2,0,dn,dn,-1.5,-2.25,mv,mv,2.3434,1.3034
1729575900000,105,2,0,dn,dn,0,-0.25,nm,nm,0,0.1443
1729576200000,110,2,0,dn,dn,-0.75,-1.5,mv,mv,0.7863,0.8577
1729576500000,115,2,0,up,dn,0.5,-0.75,mv,nm,0.603,0.4215
1729576800000,120,2,0,dn,dn,-1.25,-1.25,mv,mv,1.5967,0.7034
1729577100000,125,2,0,dn,up,0,1.25,nm,mv,0,0.6968
1729577400000,130,2,0,dn,dn,0,0,nm,nm,0,0
1729577700000,135,2,0,up,up,1.25,1.25,mv,mv,2.1651,0.703
1729578000000,140,2,0,dn,dn,-1.25,-0.5,mv,nm,1.5451,0.2864
1729578300000,145,2,0,up,dn,1.25,-2,mv,mv,1.3912,1.2394
1729578600000,150,2,0,dn,dn,-0.5,-2.25,mv,mv,0.4899,1.378
1729578900000,155,2,0,dn,dn,-2.75,-1.25,mv,mv,3.0607,0.7682
1729579200000,160,2,0,up,up,1,2.25,mv,mv,0.7121,1.3314
1729579500000,165,2,0,up,up,0.5,1.75,nm,mv,0.3354,1.0033
1729579800000,170,2,0,up,up,0.75,2,mv,mv,0.5376,1.1482
1729580100000,175,2,0,up,up,0.5,4.75,nm,mv,0.3663,2.798
1729580400000,180,2,0,up,up,0.75,3,mv,mv,0.5859,1.8926
1729580700000,185,2,0,up,up,3.5,1,mv,mv,2.6985,0.6614
1729581000000,190,2,0,dn,dn,-1.25,-1.5,mv,mv,1.1822,0.7884
1729581300000,195,2,0,dn,dn,-1.25,-2.25,mv,mv,0.896,1.1248
1729581600000,200,2,0,up,dn,1,-0.5,mv,nm,0.6273,0.2598
1729581900000,205,2,0,dn,up,-2,1.25,mv,mv,1.2473,0.6662
1729582200000,210,2,0,up,dn,0.5,0,nm,nm,0.2683,0
1729582500000,215,2,0,up,dn,2.75,-1,mv,nm,1.4847,0.5184
1729582800000,220,2,0,dn,dn,-3.25,-4.75,mv,mv,1.9948,2.4684
1729583100000,225,2,0,dn,dn,-0.5,-2.75,nm,mv,0.2495,1.4581
1729583400000,230,2,0,dn,dn,-1,-0.25,mv,nm,0.508,0.1313
1729583700000,235,2,0,dn,up,-1.25,1,mv,nm,0.6591,0.4479
1729584000000,240,2,0,up,up,2,2,mv,mv,1.0974,0.8688
1729584300000,245,2,0,up,up,0.25,1,nm,nm,0.1233,0.4347
1729584600000,250,2,0,dn,dn,-0.25,-2,nm,mv,0.1576,0.8817
1729584900000,255,2,0,up,dn,1,-6.25,mv,mv,0.9363,2.7903
1729585200000,260,2,0,dn,dn,-2.75,-6.25,mv,mv,2.4444,2.8222
1729585500000,265,2,0,dn,dn,-4.5,-1,mv,nm,2.9372,0.4484
1729585800000,270,2,0,up,up,1,4.25,mv,mv,0.4478,1.6166
1729586100000,275,2,0,up,up,2.5,0.75,mv,nm,1.2164,0.2591
1729586400000,280,2,0,up,dn,0.75,-5,nm,mv,0.3122,1.9458
1729586700000,285,2,0,dn,dn,-2.5,-6.75,mv,mv,1.0212,2.5069
1729587000000,290,2,0,dn,dn,-3.25,-3.25,mv,mv,1.3117,1.2114
