FT,ToD,DoW,DIR,MOVE
1355,1,0,up,nm
1360,1,0,up,nm
1365,1,0,dn,nm
1370,1,0,up,nm
1375,1,0,dn,mv
1380,1,0,up,nm
1385,1,0,up,mv
1390,1,0,up,mv
1395,1,0,dn,mv
1400,1,0,dn,nm
1405,1,0,dn,nm
1410,1,0,dn,nm
1415,1,0,up,nm
1420,1,0,dn,nm
1425,1,0,dn,nm
1430,1,0,dn,mv
1435,1,0,up,nm
0,1,0,up,nm
5,1,0,up,nm
10,1,0,dn,mv
15,1,0,dn,mv
20,1,0,up,mv
25,1,0,dn,nm
30,1,0,up,nm
35,1,0,up,nm
40,1,0,dn,nm
45,1,0,up,mv
50,1,0,dn,mv
55,1,0,dn,nm
60,1,0,dn,mv
65,1,0,up,nm
70,1,0,up,mv
75,1,0,up,mv
80,1,0,dn,mv
85,1,0,dn,nm
90,1,0,up,mv
95,1,0,dn,nm
100,1,0,dn,nm
105,1,0,dn,mv
110,1,0,up,nm
115,1,0,dn,mv
120,1,0,up,mv
125,1,0,dn,nm
130,1,0,dn,nm
135,1,0,dn,mv
140,1,0,up,mv
145,1,0,dn,mv
150,1,0,up,mv
155,1,0,up,mv
160,1,0,dn,mv
165,1,0,up,mv
170,1,0,dn,nm
175,1,0,dn,mv
180,1,0,dn,mv
185,1,0,dn,mv
190,1,0,dn,mv
195,1,0,dn,mv
200,1,0,dn,nm
205,1,0,up,mv
210,1,0,dn,mv
215,1,0,up,mv
220,1,0,dn,mv
225,1,0,up,mv
230,1,0,dn,mv
235,1,0,up,mv
240,1,0,up,mv
245,1,0,up,mv
250,1,0,up,mv
255,1,0,dn,mv
260,1,0,up,mv
265,1,0,up,mv
270,1,0,up,nm
275,1,0,dn,mv
280,1,0,dn,mv
285,1,0,up,mv
290,1,0,up,nm
295,1,0,dn,nm
300,1,0,dn,nm
305,1,0,up,mv
310,1,0,dn,nm
315,1,0,dn,mv
320,1,0,dn,nm
325,1,0,up,mv
330,1,0,up,mv
335,1,0,dn,nm
340,1,0,dn,nm
345,1,0,dn,mv
350,1,0,up,nm
355,1,0,dn,nm
360,1,0,dn,nm
365,1,0,dn,nm
370,1,0,up,nm
375,1,0,dn,nm
380,1,0,dn,nm
385,1,0,up,nm
390,1,0,up,mv
395,1,0,dn,mv
400,1,0,dn,nm
405,1,0,dn,mv
410,1,0,up,mv
415,1,0,up,mv
420,1,0,up,mv
425,1,0,up,nm
430,1,0,up,mv
435,1,0,up,mv
440,1,0,dn,nm
445,1,0,dn,mv
450,1,0,up,mv
455,1,0,up,mv
460,1,0,up,nm
465,1,0,up,nm
470,1,0,dn,nm
475,1,0,up,nm
480,1,0,dn,nm
485,1,0,dn,mv
490,1,0,up,nm
495,1,0,dn,mv
500,1,0,up,mv
505,1,0,dn,nm
510,1,0,dn,mv
515,1,0,up,mv
520,1,0,up,mv
525,1,1,dn,mv
530,1,1,dn,mv
535,1,1,dn,mv
540,1,1,up,nm
545,1,1,up,mv
550,1,1,dn,mv
555,1,1,dn,nm
560,1,1,up,mv
565,1,1,up,mv
570,1,1,dn,nm
575,1,1,up,mv
580,1,1,dn,mv
585,1,1,up,mv
590,1,1,dn,mv
595,1,1,dn,mv
600,1,1,dn,mv
605,1,1,dn,mv
610,1,1,up,nm
615,1,1,up,mv
620,1,1,dn,mv
625,1,1,dn,mv
630,1,1,dn,mv
635,1,1,dn,mv
640,1,1,dn,mv
645,1,1,dn,mv
650,1,1,dn,nm
655,1,1,up,nm
660,1,1,dn,mv
665,1,1,up,nm
670,1,1,dn,nm
675,1,1,up,mv
680,1,1,dn,nm
685,1,1,up,nm
690,1,1,dn,nm
695,1,1,up,nm
700,1,1,up,nm
705,1,1,dn,nm
710,1,1,up,mv
715,1,1,dn,mv
720,1,1,dn,mv
725,1,1,dn,mv
730,1,1,dn,mv
735,1,1,dn,mv
740,1,1,dn,nm
745,1,1,up,nm
750,1,1,dn,mv
755,1,1,up,nm
760,1,1,dn,nm
765,1,1,up,mv
770,1,1,dn,mv
775,1,1,dn,mv
780,1,1,dn,nm
785,1,1,dn,mv
790,1,1,dn,mv
795,1,1,up,mv
800,1,1,up,mv
805,1,1,up,mv
810,1,1,up,mv
815,1,1,up,nm
820,1,1,up,nm
825,1,1,up,nm
830,1,1,dn,nm
835,1,1,up,mv
840,1,1,up,nm
845,1,1,dn,nm
850,1,1,dn,nm
855,1,1,up,nm
860,1,1,up,nm
865,1,1,dn,mv
870,1,1,up,mv
875,1,1,up,nm
880,1,1,up,nm
885,1,1,up,nm
890,1,1,dn,mv
895,1,1,up,nm
900,1,1,up,nm
905,1,1,dn,mv
910,1,1,up,nm
915,1,1,up,mv
920,1,1,up,mv
925,1,1,dn,nm
930,1,1,up,nm
935,1,1,dn,mv
940,1,1,up,mv
945,1,0,up,mv
950,1,0,up,mv
955,1,0,up,nm
960,1,0,dn,nm
965,1,0,up,nm
970,1,0,up,nm
975,1,0,up,nm
980,1,0,up,nm
985,1,0,dn,nm
990,1,0,up,nm
995,1,0,dn,nm
1000,1,0,dn,nm
1005,1,0,dn,nm
1010,1,0,dn,nm
1015,1,0,dn,nm
1080,2,0,dn,nm
1085,2,0,up,nm
1090,2,0,up,nm
1095,2,0,dn,nm
1100,2,0,up,nm
1105,2,0,dn,nm
1110,2,0,up,nm
1115,2,0,up,nm
1120,2,0,dn,nm
1125,2,0,up,nm
1130,2,0,dn,nm
1135,2,0,dn,nm
1140,2,0,up,nm
1145,2,0,up,nm
1150,2,0,dn,nm
1155,2,0,dn,nm
1160,2,0,dn,nm
1165,2,0,dn,nm
1170,2,0,dn,nm
1175,2,0,dn,nm
1180,2,0,dn,nm
1185,2,0,dn,nm
1190,2,0,dn,mv
1195,2,0,dn,mv
1200,2,0,up,nm
1205,2,0,up,nm
1210,2,0,up,nm
1215,2,0,dn,nm
1220,2,0,up,nm
1225,2,0,up,nm
1230,2,0,up,nm
1235,2,0,dn,nm
1240,2,0,dn,nm
1245,2,0,dn,nm
1250,2,0,up,mv
1255,2,0,dn,mv
1260,2,0,dn,mv
1265,2,0,dn,mv
1270,2,0,dn,nm
1275,2,0,dn,nm
1280,2,0,dn,mv
1285,2,0,up,mv
1290,2,0,dn,mv
1295,2,0,up,mv
1300,2,0,up,nm
1305,2,0,dn,mv
1310,2,0,dn,mv
1315,2,0,dn,mv
1320,2,0,dn,nm
1325,2,0,up,nm
1330,2,0,dn,mv
1335,2,0,dn,nm
1340,2,0,dn,nm
1345,2,0,dn,mv
1350,2,0,up,nm
1355,2,0,dn,nm
1360,2,0,up,nm
1365,2,0,dn,mv
1370,2,0,dn,nm
1375,2,0,dn,nm
1380,2,0,dn,nm
1385,2,0,up,mv
1390,2,0,dn,mv
1395,2,0,dn,nm
1400,2,0,dn,nm
