fullK,fullD,diffKD,overBought,overSold,Volume,15mSD,30mSD
54.5455,57.5758,-3.0303,0,0,388,0.9593,1.0572
63.6364,60.6061,3.0303,0,0,315,1.1482,1.7724
81.8182,66.6667,15.1515,0,0,363,0.7618,-2.4449
77.2727,74.2424,3.0303,0,0,500,1.483,-3.2959
90.9091,83.3333,7.5758,1,0,485,2.5013,-2.9939
100,89.3939,10.6061,1,0,257,-3.9747,-3.144
100,96.9697,3.0303,1,0,612,-4.1049,-2.9037
97.1429,99.0476,-1.9048,1,0,1080,-3.5097,-3.2339
6.25,67.7976,-61.5476,0,0,3506,-0.7922,-0.2998
13.2353,38.8761,-25.6408,0,0,2857,0.3296,0.7784
20.5882,13.3578,7.2304,0,0,1317,-0.0664,0.5969
16.1765,16.6667,-0.4902,0,1,1134,0.4618,0.6547
20.5882,19.1176,1.4706,0,0,1225,0.524,-0.2988
19.1176,18.6275,0.4902,0,1,792,0.7111,-1.4118
26.4706,22.0588,4.4118,0,0,1243,0.2588,-1.0519
32.3529,25.9804,6.3725,0,0,810,-0.8376,-0.0584
35.2941,31.3725,3.9216,0,0,887,-2.1182,-0.3505
32.3529,33.3333,-0.9804,0,0,470,-1.3077,0.2338
13.2353,26.9608,-13.7255,0,0,1041,0.7036,1.0562
4.8193,16.8025,-11.9832,0,1,3386,1.6072,1.0551
18.0723,12.0423,6.03,0,1,2709,1.384,0.0592
43.3735,22.0884,21.2851,0,0,2501,0.3182,-0.5996
39.759,33.7349,6.0241,0,0,1880,-0.5826,-0.3723
49.3976,44.1767,5.2209,0,0,1666,-1.295,-1.1387
50.6024,46.5863,4.0161,0,0,1387,-0.8234,-2.4308
26.8293,42.2764,-15.4472,0,0,2321,0.2568,-1.5677
36.3636,37.9318,-1.5681,0,0,1983,0.3612,-1.4451
59.0909,40.7613,18.3296,0,0,1398,-1.218,-3.3288
61.3636,52.2727,9.0909,0,0,1610,-1.532,-4.0364
52.2727,57.5758,-5.303,0,0,1445,-1.5005,-3.1721
6.6667,40.101,-33.4343,0,0,1806,-1.6999,-2.3326
14.2857,24.4084,-10.1227,0,0,2877,-2.3191,-1.4887
14.7541,11.9022,2.8519,0,1,3170,-1.7063,-0.8358
3.7037,10.9145,-7.2108,0,1,3758,-0.7534,-0.8369
10.7143,9.724,0.9903,0,1,6216,0.7925,0.3961
18.75,11.056,7.694,0,1,3854,0.8653,-0.1764
15.1786,14.881,0.2976,0,1,3759,-0.0909,0
26.7857,20.2381,6.5476,0,0,2196,-0.44,-0.7071
36.6071,26.1905,10.4167,0,0,2247,-1.1611,-0.4861
13.3929,25.5952,-12.2024,0,0,1902,0.0971,0.832
19.469,23.1563,-3.6873,0,0,2873,-0.3405,1.3654
15.9292,16.2637,-0.3345,0,1,1669,0.6271,1.4947
16.2162,17.2048,-0.9886,0,1,2548,0.8088,1.3012
15,15.7151,-0.7151,0,1,1173,1.7416,1.0011
31,20.7387,10.2613,0,0,1864,1.0018,0.7926
35,27,8,0,0,1535,0.6459,1.2044
54,40,14,0,0,2462,-0.6184,0.5786
54,47.6667,6.3333,0,0,1774,-0.1339,0.651
65.7895,57.9298,7.8596,0,0,1370,0.7111,1.057
57.1429,58.9774,-1.8346,0,0,1579,1.2893,1.2245
82.2581,68.3968,13.8613,0,0,1236,0.8982,0.8816
97.0588,78.8199,18.2389,0,0,1615,0.5358,0.4392
98.5714,92.6294,5.942,1,0,1369,0.1786,0.0732
98.6111,98.0805,0.5307,1,0,1059,0.1814,0.2926
98.7342,98.6389,0.0953,1,0,1383,0,-0.1097
92.4051,96.5835,-4.1784,1,0,1191,-0.0915,0.4378
90.3614,93.8336,-3.4721,1,0,1451,0.1832,0.0366
93.9759,92.2475,1.7284,1,0,1228,-0.1399,-0.1835
84.2105,89.516,-5.3054,1,0,936,0.6709,0.257
94.6667,90.951,3.7156,1,0,826,-0.1495,0.1836
89.3333,89.4035,-0.0702,1,0,712,-0.1061,0.2944
100,94.6667,5.3333,1,0,732,-0.4366,0.0741
85.4839,91.6057,-6.1219,1,0,1203,0.5752,0.6666
77.3585,87.6141,-10.2556,0,0,1525,0.7531,0.8205
86.5385,83.1269,3.4115,1,0,1149,0.6862,0.7517
98.0769,87.3246,10.7523,1,0,1004,0.7761,0.7246
90.9091,91.8415,-0.9324,1,0,1243,0.934,0.6215
94.3396,94.4419,-0.1023,1,0,1062,0.8761,0.8807
93.617,92.9552,0.6618,1,0,2858,0.8059,0.4397
